"contrast"	"metric"	"value"	"significance"	"pvalue"	"rawval"
"52"	"53A6 - 54A7"	"Rgyr"	"0.00 ± 0.00"	"( )"	1	"0.00 ± 0.00"
"58"	"53A6 - 54A7"	"RMSD.ADJ"	"0.39 ± 0.08"	"(***)"	4.63271303524726e-05	"0.03 ± 0.01"
"64"	"53A6 - 54A7"	"SASA_nonpolar"	"-0.00 ± 0.01"	"( )"	1	"0.01 ± 0.09"
"70"	"53A6 - 54A7"	"SASA_polar"	"0.02 ± 0.01"	"( )"	0.826941181541649	"0.22 ± 0.12"
"76"	"53A6 - 54A7"	"ThreeTen_Helix"	"-0.28 ± 0.08"	"(**)"	0.00667216720318937	"-0.39 ± 0.11"
"5"	"53A6 - 54A8"	"A_Helix"	"-0.43 ± 0.08"	"(***)"	7.31804655072707e-06	"-1.94 ± 0.29"
"11"	"53A6 - 54A8"	"B_Bridge"	"0.09 ± 0.06"	"( )"	0.975256135994909	"0.04 ± 0.08"
"17"	"53A6 - 54A8"	"B_Strand"	"0.58 ± 0.08"	"(***)"	5.72920669760416e-10	"1.31 ± 0.20"
"23"	"53A6 - 54A8"	"Hbond_bb_0.25_120"	"-0.59 ± 0.06"	"(***)"	1.81564038255521e-20	"-2.88 ± 0.28"
"29"	"53A6 - 54A8"	"Hbond_native_bb_0.25_120"	"-0.58 ± 0.08"	"(***)"	1.85782308912818e-11	"-2.40 ± 0.34"
"35"	"53A6 - 54A8"	"Jvalue"	"0.11 ± 0.09"	"( )"	1	"0.08 ± 0.07"
"41"	"53A6 - 54A8"	"NOE_repl_merged"	"0.08 ± 0.04"	"( )"	0.689516628320048	"0.00 ± 0.00"
"47"	"53A6 - 54A8"	"Pi_Helix"	"0.21 ± 0.11"	"( )"	0.642576783784194	"0.30 ± 0.13"
"53"	"53A6 - 54A8"	"Rgyr"	"0.00 ± 0.00"	"( )"	0.413916925901643	"0.01 ± 0.00"
"59"	"53A6 - 54A8"	"RMSD.ADJ"	"0.52 ± 0.08"	"(***)"	1.24708843413109e-08	"0.04 ± 0.01"
"65"	"53A6 - 54A8"	"SASA_nonpolar"	"0.00 ± 0.01"	"( )"	1	"0.04 ± 0.09"
"71"	"53A6 - 54A8"	"SASA_polar"	"0.09 ± 0.01"	"(***)"	1.22617092134635e-09	"0.78 ± 0.12"
"77"	"53A6 - 54A8"	"ThreeTen_Helix"	"-0.18 ± 0.08"	"( )"	0.290726436646659	"-0.27 ± 0.11"
"6"	"54A7 - 54A8"	"A_Helix"	"-0.07 ± 0.08"	"( )"	1	"-0.26 ± 0.26"
"12"	"54A7 - 54A8"	"B_Bridge"	"0.02 ± 0.05"	"( )"	1	"0.02 ± 0.08"
"18"	"54A7 - 54A8"	"B_Strand"	"-0.01 ± 0.08"	"( )"	1	"-0.06 ± 0.18"
"24"	"54A7 - 54A8"	"Hbond_bb_0.25_120"	"-0.07 ± 0.05"	"( )"	1	"-0.29 ± 0.26"
"30"	"54A7 - 54A8"	"Hbond_native_bb_0.25_120"	"-0.14 ± 0.07"	"( )"	0.506863605179999	"-0.54 ± 0.30"
"36"	"54A7 - 54A8"	"Jvalue"	"0.02 ± 0.09"	"( )"	1	"0.03 ± 0.07"
"42"	"54A7 - 54A8"	"NOE_repl_merged"	"0.05 ± 0.04"	"( )"	1	"0.00 ± 0.00"
"48"	"54A7 - 54A8"	"Pi_Helix"	"0.04 ± 0.10"	"( )"	1	"0.08 ± 0.11"
"54"	"54A7 - 54A8"	"Rgyr"	"0.00 ± 0.00"	"( )"	1	"0.00 ± 0.00"
"60"	"54A7 - 54A8"	"RMSD.ADJ"	"0.13 ± 0.07"	"( )"	0.741161362727743	"0.01 ± 0.01"
"66"	"54A7 - 54A8"	"SASA_nonpolar"	"0.00 ± 0.01"	"( )"	1	"0.03 ± 0.08"
"72"	"54A7 - 54A8"	"SASA_polar"	"0.07 ± 0.01"	"(***)"	8.41511400156814e-07	"0.56 ± 0.10"
"78"	"54A7 - 54A8"	"ThreeTen_Helix"	"0.10 ± 0.07"	"( )"	1	"0.12 ± 0.10"
