"contrast"	"metric"	"value"	"significance"	"pvalue"
"53"	"53A6 - 54A8"	"Rgyr"	"0.01 ± 0.00"	"( )"	0.31520218330557
"59"	"53A6 - 54A8"	"RMSD.ADJ"	"0.52 ± 0.08"	"(***)"	1.66278457884145e-08
"65"	"53A6 - 54A8"	"SASA_nonpolar"	"0.01 ± 0.01"	"( )"	1
"71"	"53A6 - 54A8"	"SASA_polar"	"0.05 ± 0.02"	"(*)"	0.0218346244513112
"77"	"53A6 - 54A8"	"ThreeTen_Helix"	"-0.18 ± 0.08"	"( )"	0.274374626813573
"6"	"54A7 - 54A8"	"A_Helix"	"-0.07 ± 0.08"	"( )"	1
"12"	"54A7 - 54A8"	"B_Bridge"	"0.02 ± 0.05"	"( )"	1
"18"	"54A7 - 54A8"	"B_Strand"	"-0.02 ± 0.08"	"( )"	1
"24"	"54A7 - 54A8"	"Hbond_bb_0.25_120"	"-0.06 ± 0.05"	"( )"	1
"30"	"54A7 - 54A8"	"Hbond_native_bb_0.25_120"	"-0.14 ± 0.07"	"( )"	0.606663035824638
"36"	"54A7 - 54A8"	"Jvalue"	"0.02 ± 0.09"	"( )"	1
"42"	"54A7 - 54A8"	"NOE_repl_merged"	"0.05 ± 0.04"	"( )"	1
"48"	"54A7 - 54A8"	"Pi_Helix"	"0.04 ± 0.10"	"( )"	1
"54"	"54A7 - 54A8"	"Rgyr"	"0.00 ± 0.00"	"( )"	1
"60"	"54A7 - 54A8"	"RMSD.ADJ"	"0.13 ± 0.07"	"( )"	0.741161362727743
"66"	"54A7 - 54A8"	"SASA_nonpolar"	"0.02 ± 0.01"	"( )"	0.830857530321856
"72"	"54A7 - 54A8"	"SASA_polar"	"0.03 ± 0.01"	"( )"	0.31520218330557
"78"	"54A7 - 54A8"	"ThreeTen_Helix"	"0.10 ± 0.07"	"( )"	1
