"A_Helix"	"B_Bridge"	"B_Strand"	"Hbond_bb_0.25_120"	"Hbond_native_bb_0.25_120"	"Jvalue"	"NOE_repl_merged"	"Pi_Helix"	"Rgyr"	"RMSD.ADJ"	"SASA_nonpolar"	"SASA_polar"	"ThreeTen_Helix"
"45A4 - 53A6"	"0.36 ± 0.09 [(***)]"	"0.09 ± 0.06 [( )]"	"-0.13 ± 0.09 [( )]"	"0.03 ± 0.06 [( )]"	"-0.31 ± 0.08 [(**)]"	"0.02 ± 0.09 [( )]"	"-0.05 ± 0.05 [( )]"	"-0.06 ± 0.12 [( )]"	"-0.03 ± 0.00 [(***)]"	"-0.07 ± 0.09 [( )]"	"-0.07 ± 0.01 [(***)]"	"-0.19 ± 0.01 [(***)]"	"0.08 ± 0.08 [( )]"
"45A4 - 54A7"	"0.00 ± 0.08 [( )]"	"0.16 ± 0.06 [(*)]"	"0.46 ± 0.08 [(***)]"	"-0.50 ± 0.06 [(***)]"	"-0.75 ± 0.08 [(***)]"	"0.11 ± 0.09 [( )]"	"-0.02 ± 0.05 [( )]"	"0.12 ± 0.11 [( )]"	"-0.02 ± 0.00 [(***)]"	"0.32 ± 0.08 [(**)]"	"-0.08 ± 0.01 [(***)]"	"-0.16 ± 0.01 [(***)]"	"-0.20 ± 0.08 [( )]"
"45A4 - 54A8"	"-0.07 ± 0.08 [( )]"	"0.18 ± 0.06 [(*)]"	"0.45 ± 0.08 [(***)]"	"-0.56 ± 0.06 [(***)]"	"-0.89 ± 0.08 [(***)]"	"0.13 ± 0.09 [( )]"	"0.03 ± 0.05 [( )]"	"0.16 ± 0.11 [( )]"	"-0.02 ± 0.00 [(***)]"	"0.45 ± 0.08 [(***)]"	"-0.07 ± 0.01 [(***)]"	"-0.10 ± 0.01 [(***)]"	"-0.10 ± 0.08 [( )]"
"53A6 - 54A7"	"-0.36 ± 0.08 [(***)]"	"0.07 ± 0.06 [( )]"	"0.59 ± 0.08 [(***)]"	"-0.53 ± 0.06 [(***)]"	"-0.44 ± 0.08 [(***)]"	"0.09 ± 0.09 [( )]"	"0.03 ± 0.04 [( )]"	"0.17 ± 0.11 [( )]"	"0.00 ± 0.00 [( )]"	"0.39 ± 0.08 [(***)]"	"-0.00 ± 0.01 [( )]"	"0.02 ± 0.01 [( )]"	"-0.28 ± 0.08 [(**)]"
"53A6 - 54A8"	"-0.43 ± 0.08 [(***)]"	"0.09 ± 0.06 [( )]"	"0.58 ± 0.08 [(***)]"	"-0.59 ± 0.06 [(***)]"	"-0.58 ± 0.08 [(***)]"	"0.11 ± 0.09 [( )]"	"0.08 ± 0.04 [( )]"	"0.21 ± 0.11 [( )]"	"0.00 ± 0.00 [( )]"	"0.52 ± 0.08 [(***)]"	"0.00 ± 0.01 [( )]"	"0.09 ± 0.01 [(***)]"	"-0.18 ± 0.08 [( )]"
"54A7 - 54A8"	"-0.07 ± 0.08 [( )]"	"0.02 ± 0.05 [( )]"	"-0.01 ± 0.08 [( )]"	"-0.07 ± 0.05 [( )]"	"-0.14 ± 0.07 [( )]"	"0.02 ± 0.09 [( )]"	"0.05 ± 0.04 [( )]"	"0.04 ± 0.10 [( )]"	"0.00 ± 0.00 [( )]"	"0.13 ± 0.07 [( )]"	"0.00 ± 0.01 [( )]"	"0.07 ± 0.01 [(***)]"	"0.10 ± 0.07 [( )]"
